town,date,summary
Bass River,2021-07,"The page includes an ordinance from CY 2021 titled 'Governing Cannabis Business and Uses,' indicating that there are regulations in place regarding cannabis activities in Bass River Township."
Bloomingdale,,"The page includes a link to 'Cannabis Licensing,' indicating that the borough has information related to cannabis regulations and licensing. However, no specific details about moratoriums, application windows, or ordinances are provided in the truncated text."
Egg Harbor,"January 1, 2026","02502111511440)  document \_recordid  3276   The purpose of this ordinance is to provide sanitary standards and occupancy requirements to protect public health at campgrounds, as a result of the sun setting of N.J.A.C. 8:22 Campground regulations.   - [08-An ordinance to amend Chapter 87, entitled ""Cannabis"" of the Code of the Township of Egg Harbor regarding taxation, licensing, Resolution of local support and other provisions as permitted by the law including the New Jersey Cannabis Regulatory"
Long Hill,,n Huber](https://www.longhillnj.gov/_Content/pdf/A-MESSAGE-FROM-LONG-HILL-TOWNSHIP-FIRE-MARSHAL-DON-HUBER.pdf) - [Fire Awareness](https://www.longhillnj.gov/_Content/pdf/Fire-Awareness.pdf) - [Free Smoke Alarm Program](https://www.longhillnj.gov/_Content/pdf/SMOKE-ALARM-FEB-2020.pdf) - [Residential Recreational Fire Safety Guideline](https://www.longhillnj.gov/_Content/pdf/RESIDENTIAL-RECREATIONAL-FIRES.pdf) - [Turkey Fryer Safety](https://www.longhillnj.gov/_Content/pdf/TURKEY-FRYER-SAFETY.pdf)
Margate City,"May 19, 2026","ers](https://www.margate-nj.com/city-clerk-registrar/pages/notice-to-bidders-lead-service-line-replacement-phase-2)-Lead Service Line Replacement Phase 2 Bid Opening on May 19, 2026 at 11:00am  [Notice to Bidders-](https://www.margate-nj.com/city-clerk-registrar/pages/notice-to-bidders-sigmund-rimm-recreational-complex-walkway-lighting) Sigmund Rimm Recreational Complex Walkway Lighting Bid Opening on April 30, 2026 at 11:00am  [Ordinance #04-2026](https://www.margate-nj.com/city-clerk-registrar"
Ocean City,,"The page includes a link to 'Cannabis Business Information,' which likely contains details about cannabis licensing and related activities, but no specific information about moratoriums, application windows, or Class 5 dispensary activities is provided in the truncated text."
Pemberton Borough,Feb 18,"The page includes a reference to COLA Ordinance No. 2026-1, which may pertain to cannabis licensing or regulations. However, specific details about cannabis retail applications, moratoriums, or application windows are not provided."
Stafford,"March 31, 2026","The page includes the adoption of Ordinance No. 2026-12, which amends the Township Code regarding the prohibition of cannabis consumption on public property. It does not provide details on licensing or application processes."
Teaneck,"April 17, 2026","tices/news/)   - [Public Notices](https://www.teanecknj.gov/news-and-notices/public-notices/)  - ![Decorative Public Notice Graphic](https://www.teanecknj.gov/media/lnpdcicm/public-notice.png?width=400&height=300&v=1dcc116dc7d1b20&format=webp)      [NOTICE OF INTENT TO AWARD CONTRACT - Playground & Recreational Equipment](https://www.teanecknj.gov/news-and-notices/posts/notice-of-intent-to-award-contract-playground-recreational-equipment/ ""Click to open NOTICE OF INTENT TO AWARD CONTRACT - Playg"
Upper,"June 23, 2026","The page includes a notice for a Request for Proposals (RFP) for a Class 5 Cannabis Retail Sales License in Upper Township, with proposals due on June 23, 2026. Additionally, it mentions an ordinance creating a Cannabis Overlay Zone to allow Class 5 Cannabis Retail Sales."
Waterford,"March 31, 2026","ASE CLICK HERE TO BE REDIRECTED TO THE TOWNSHIP’S LEGAL NOTICES](https://ecode360.com/WA0490/documents/LEGAL_NOTICES)  [![Waterford Twp Logo Final v6](https://waterfordtwp.org/wp-content/uploads/2020/11/Waterford-Twp-Logo-Final-v6-e1602791372993.png)](https://waterfordtwp.org/)  2131 Auburn Avenue  Atco, NJ 08004  **Phone:** (856) 768-2300  **Hours:** Monday – Friday 8:30 a.m. to 4:30 p.m.  [Facebook](https://www.facebook.com/townshipofwaterford)  ## Quick Links & Information  **TOWNSHIP MEETING"
