town,license_count,categories
Absecon,5,Personal-Use
Andover,2,Personal-Use
Atco,3,"Medicinal, Personal-Use"
Atlantic City,23,"Medicinal, Personal-Use"
Augusta,1,Personal-Use
Avenel,1,Personal-Use
Bass River Township,1,Personal-Use
Belleville,3,Personal-Use
Bellmawr,2,"Medicinal, Personal-Use"
Blackwood,3,Personal-Use
Bloomfield,7,"Medicinal, Personal-Use"
Boonton,3,"Medicinal, Personal-Use"
Bordentown,3,"Medicinal, Personal-Use"
Bound Brook,1,Personal-Use
Branchburg,2,"Medicinal, Personal-Use"
Bridgeton,2,Personal-Use
Brooklawn,3,Personal-Use
Browns Mills,1,Personal-Use
Budd Lake,1,Personal-Use
Buena,2,Personal-Use
Butler,1,Personal-Use
Camden,5,Personal-Use
Cape May,1,Personal-Use
Cape MayCourt House,1,Personal-Use
Carlstadt,1,Personal-Use
Carney's Point,2,Personal-Use
Cinnaminson,1,Personal-Use
Clementon,1,Personal-Use
Collingswood,2,"Medicinal, Personal-Use"
Cranbury,2,"Medicinal, Personal-Use"
Delran,2,Personal-Use
Deptford,2,"Medicinal, Personal-Use"
Dover,2,Personal-Use
East Orange,2,Personal-Use
Eatontown,6,"Medicinal, Personal-Use"
Edgewater Park,4,"Medicinal, Personal-Use"
Egg Harbor,1,Medicinal
Egg Harbor City,6,Personal-Use
Egg Harbor Township,6,"Medicinal, Personal-Use"
Elizabeth,9,"Medicinal, Personal-Use"
Elmwood Park,3,Personal-Use
Englishtown,4,Personal-Use
Evesham,2,Personal-Use
Ewing,9,"Medicinal, Personal-Use"
Fairfield,1,Personal-Use
Flemington,2,"Medicinal, Personal-Use"
Fort Lee,3,"Medicinal, Personal-Use"
Franklin,2,Personal-Use
Franklin Borough,1,Medicinal
Franklin Park,3,"Medicinal, Personal-Use"
Franklin Township,3,Personal-Use
Freehold,2,"Medicinal, Personal-Use"
Garfield,7,"Medicinal, Personal-Use"
Gibbsboro,2,Personal-Use
Glassboro,3,"Medicinal, Personal-Use"
Gloucester City,1,Personal-Use
Gloucester Township,2,"Medicinal, Personal-Use"
Hackensack,1,Personal-Use
Hackettstown,4,"Medicinal, Personal-Use"
Hainesport,1,Personal-Use
Haledon,1,Personal-Use
Hamilton,4,Personal-Use
Hammonton,3,"Medicinal, Personal-Use"
Harrison,2,Personal-Use
Hewitt,1,Personal-Use
Highland Park,4,Personal-Use
Highlands,1,Personal-Use
Hoboken,5,"Medicinal, Personal-Use"
Hopewell,1,Personal-Use
Irvington,4,Personal-Use
Jersey City,32,"Medicinal, Personal-Use"
Keansburg,1,Personal-Use
Keyport,1,Personal-Use
Kingston,2,Personal-Use
Lafayette,3,"Medicinal, Personal-Use"
Lake Hopatcong,3,Personal-Use
Lakehurst,2,Personal-Use
Lakewood,1,Medicinal
Lambertville,2,Personal-Use
Lawnside,1,Personal-Use
Lawrence Township,2,"Medicinal, Personal-Use"
Lincoln Park,1,Personal-Use
Linden,1,Personal-Use
Little Falls,1,Personal-Use
Little Ferry,1,Personal-Use
Lodi,2,"Medicinal, Personal-Use"
Lumberton,2,Personal-Use
Maplewood,7,"Medicinal, Personal-Use"
Marlton,2,Personal-Use
Matawan,2,Personal-Use
Mays Landing,2,"Medicinal, Personal-Use"
Maywood,2,Personal-Use
Merchantville,1,Personal-Use
Metuchen,1,Personal-Use
Middlesex,1,Personal-Use
Millville,2,Personal-Use
Montclair,2,Personal-Use
Moorestown,1,Personal-Use
Morristown,1,Personal-Use
Mount Ephraim,1,Personal-Use
Mount Holly,7,Personal-Use
Mount Laurel,5,Personal-Use
Neptune,7,"Medicinal, Personal-Use"
Neptune City,1,Personal-Use
Netcong,1,Personal-Use
New Brunswick,4,Personal-Use
Newark,6,"Medicinal, Personal-Use"
Newfield,1,Personal-Use
Newfoundland,2,Personal-Use
Newton,3,Personal-Use
North Bergen,5,"Medicinal, Personal-Use"
North Brunswick,3,"Medicinal, Personal-Use"
North Plainfield,3,Personal-Use
Oak Ridge,1,Personal-Use
Oakland,1,Personal-Use
Oaklyn,1,Personal-Use
Ocean,2,Personal-Use
Oxford,2,"Medicinal, Personal-Use"
Paramus,1,Medicinal
Passaic,1,Personal-Use
Paterson,3,"Medicinal, Personal-Use"
Paulsboro,3,Personal-Use
Pemberton,1,Personal-Use
Pennington,2,Personal-Use
Penns Grove,3,Personal-Use
Pennsauken,2,"Medicinal, Personal-Use"
Pequannock Township,1,Medicinal
Phillipsburg,3,"Medicinal, Personal-Use"
Plainfield,8,Personal-Use
Pleasantville,5,"Medicinal, Personal-Use"
Princeton,1,Personal-Use
Rahway,1,Personal-Use
Raritan,2,"Medicinal, Personal-Use"
Red Bank,5,"Medicinal, Personal-Use"
Ridgefield,2,Personal-Use
River Edge,1,Personal-Use
Riverside,1,Personal-Use
Rochelle Park,2,"Medicinal, Personal-Use"
Rockaway,2,Personal-Use
Rockaway Borough,1,Personal-Use
Roselle,4,Personal-Use
Roselle Park,2,"Medicinal, Personal-Use"
Runnemede,2,Personal-Use
Saddle Brook,1,Personal-Use
Salem,1,Personal-Use
Scotch Plains,7,"Medicinal, Personal-Use"
Secaucus,1,Medicinal
Sicklerville,2,"Medicinal, Personal-Use"
Somerdale,3,Personal-Use
Somerset,19,"Medicinal, Personal-Use"
Somerville,1,Personal-Use
South Bound Brook,1,Personal-Use
South Brunswick,2,"Medicinal, Personal-Use"
South Orange,1,Personal-Use
South Plainfield,1,Personal-Use
South River,2,Personal-Use
South Tom's River,1,Personal-Use
South Toms River,1,Personal-Use
Springfield,2,Personal-Use
Sussex,3,Personal-Use
Swedesboro,2,Personal-Use
Tinton Falls,1,Personal-Use
Trenton,5,"Medicinal, Personal-Use"
Tuckerton,1,Personal-Use
Turnersville,1,Personal-Use
Union,5,"Medicinal, Personal-Use"
Vernon,2,Personal-Use
Vineland,3,"Medicinal, Personal-Use"
Voorhees,5,"Medicinal, Personal-Use"
Wantage,1,Personal-Use
Waretown,2,"Medicinal, Personal-Use"
Washington,1,Personal-Use
Wenonah,1,Personal-Use
West Amwell,2,"Medicinal, Personal-Use"
West Cape May,1,Personal-Use
West Deptford,2,Personal-Use
West Milford,8,Personal-Use
West New York,2,Personal-Use
West Orange,4,Personal-Use
Wharton,2,"Medicinal, Personal-Use"
Williamstown,5,"Medicinal, Personal-Use"
Willingboro,4,"Medicinal, Personal-Use"
Winslow,2,"Medicinal, Personal-Use"
Winslow Township,1,Medicinal
Woodbridge,2,"Medicinal, Personal-Use"
Woodbury,3,Personal-Use
Woodbury Heights,2,Personal-Use
