municipality,type,county,base_url,platform,status,detected_platform,detected_evidence,probe_status
Aberdeen,Township,Monmouth,http://www.aberdeennj.org,agendacenter,found,agendacenter,already_known,skip
Alexandria,Township,Hunterdon,https://www.alexandrianj.gov,unknown,found,unknown,,ok
Allamuchy,Township,Warren,https://allamuchynj.org,civicplus,found,civicplus,already_known,skip
Allendale,Borough,Bergen,https://www.allendalenj.gov,unknown,found,custom_pdf,pdf_links:176,ok
Allenhurst,Borough,Monmouth,https://www.allenhurstnj.org,unknown,not_found,agendacenter,html:AgendaCenter,ok
Allentown,Borough,Monmouth,https://allentownboronj.com,civicplus,found,civicplus,already_known,skip
Alloway,Township,Salem,https://allowaytownship.com,unknown,found,custom_pdf,pdf_links:224,ok
Alpha,Borough,Warren,https://www.alphaboronj.org,unknown,not_found,unknown,,ok
Alpine,Borough,Bergen,http://alpinenj07620.org,agendacenter,found,agendacenter,already_known,skip
Asbury Park,City,Monmouth,https://www.cityofasburypark.com,agendacenter,found,agendacenter,already_known,skip
Atlantic Highlands,Borough,Monmouth,,,no_url,skip,no_url,skip
Audubon,Borough,Camden,,,no_url,skip,no_url,skip
Audubon Park,Borough,Camden,,,no_url,skip,no_url,skip
Avalon,Borough,Cape May,,,no_url,skip,no_url,skip
Avon-by-the-Sea,Borough,Monmouth,,,no_url,skip,no_url,skip
Barnegat,Township,Ocean,https://www.barnegat.net,unknown,found,custom_pdf,pdf_links:72,ok
Barnegat Light,Borough,Ocean,https://barnegatlight.org,unknown,found,custom_pdf,pdf_links:13,ok
Barrington,Borough,Camden,https://barringtonboro.com,unknown,found,agendacenter,html:AgendaCenter,ok
Bay Head,Borough,Ocean,https://www.bayheadnj.org,unknown,not_found,agendacenter,html:AgendaCenter,ok
Bayonne,City,Hudson,https://www.bayonnenj.org,unknown,found,custom_pdf,pdf_links:151,ok
Beach Haven,Borough,Ocean,https://beachhaven-nj.gov,unknown,not_found,unknown,,ok
Beachwood,Borough,Ocean,https://www.beachwoodusa.com,agendacenter,found,agendacenter,already_known,skip
Bedminster,Township,Somerset,https://www.bedminster.us,unknown,found,agendacenter,html:AgendaCenter,ok
Belmar,Borough,Monmouth,https://www.belmar.com,unknown,not_found,agendacenter,html:AgendaCenter,ok
Belvidere,Town,Warren,https://www.belviderenj.net,unknown,not_found,agendacenter,html:AgendaCenter,ok
Bergenfield,Borough,Bergen,https://bergenfield.com,unknown,found,agendacenter,html:AgendaCenter,ok
Berkeley,Township,Ocean,https://twp.berkeley.nj.us,unknown,not_found,unknown,,timeout
Berkeley Heights,Township,Union,https://www.berkeleyheights.gov,agendacenter,found,agendacenter,already_known,skip
Berlin,Borough,Camden,https://berlintwp.com,unknown,found,unknown,,ok
Berlin,Township,Camden,https://berlintwp.com,unknown,found,unknown,,ok
Bernards,Township,Somerset,https://www.bernards.org,unknown,found,unknown,,ok
Bernardsville,Borough,Somerset,https://www.bernardsvilleboro.org,agendacenter,found,agendacenter,already_known,skip
Bethlehem,Township,Hunterdon,https://bethlehemnj.org,unknown,found,custom_pdf,pdf_links:40,ok
Beverly,City,Burlington,https://thecityofbeverly.com,unknown,found,custom_pdf,pdf_links:2,ok
Blairstown,Township,Warren,https://www.blairstowntownship.org,unknown,not_found,unknown,,ok
Bloomingdale,Borough,Passaic,https://www.bloomingdalenj.net,unknown,found,custom_pdf,pdf_links:22,ok
Bloomsbury,Borough,Hunterdon,https://bloomsburyborough.com,unknown,found,agendacenter,html:AgendaCenter,ok
Bogota,Borough,Bergen,https://www.bogotaonline.org,unknown,found,unknown,,ok
Bradley Beach,Borough,Monmouth,https://www.bradleybeachnj.gov,unknown,found,agendacenter,html:AgendaCenter,ok
Branchville,Borough,Sussex,https://www.branchville.us,unknown,found,custom_pdf,pdf_links:3,ok
Brick,Township,Ocean,https://www.bricktownship.net,unknown,not_found,unknown,,ok
Bridgewater,Township,Somerset,https://www.bridgewaternj.gov,unknown,found,unknown,,ok
Brielle,Borough,Monmouth,https://www.briellenj.gov,agendacenter,found,agendacenter,already_known,skip
Brigantine,City,Atlantic,https://brigantinebeach.org,unknown,found,custom_pdf,pdf_links:87,ok
Buena Vista,Township,Atlantic,https://buenavistanj.com,unknown,found,custom_pdf,pdf_links:277,ok
Burlington,Township,Burlington,http://twp.burlington.nj.us,unknown,not_found,unknown,,ok
Burlington,City,Burlington,http://twp.burlington.nj.us,unknown,not_found,unknown,,ok
Byram,Township,Sussex,https://www.byramtwp.org,unknown,found,agendacenter,html:AgendaCenter,ok
Caldwell,Borough,Essex,http://www.caldwell-nj.com,civicplus,found,civicplus,already_known,skip
Califon,Borough,Hunterdon,https://www.califonborough-nj.org,agendacenter,found,agendacenter,already_known,skip
Cape May Point,Borough,Cape May,,,no_url,skip,no_url,skip
Carteret,Borough,Middlesex,https://www.carteret.net,unknown,found,laserfiche,html:laserfiche\.com,ok
Cedar Grove,Township,Essex,https://cedargrovenj.org,agendacenter,found,agendacenter,already_known,skip
Chatham,Township,Morris,https://chathamtownship.org,unknown,found,custom_pdf,pdf_links:2,ok
Chatham,Borough,Morris,https://chathamtownship.org,unknown,found,custom_pdf,pdf_links:2,ok
Cherry Hill,Township,Camden,https://www.chnj.gov,agendacenter,found,agendacenter,already_known,skip
Chesilhurst,Borough,Camden,https://chesilhurstboro.org,unknown,found,agendacenter,html:AgendaCenter,ok
Chester,Borough,Morris,https://www.chestertownship.org,unknown,found,unknown,,ok
Chester,Township,Morris,https://www.chestertownship.org,unknown,found,unknown,,ok
Chesterfield,Township,Burlington,https://www.chesterfieldtwpnj.gov,unknown,not_found,agendacenter,html:AgendaCenter,ok
Clark,Township,Union,https://www.ourclark.com,agendacenter,found,agendacenter,already_known,skip
Clayton,Borough,Gloucester,https://www.claytonnj.com,agendacenter,found,agendacenter,already_known,skip
Cliffside Park,Borough,Bergen,https://www.cliffsideparknj.gov,unknown,not_found,unknown,,ok
Clifton,City,Passaic,https://www.cliftonnj.org,agendacenter,found,agendacenter,already_known,skip
Clinton,Township,Hunterdon,https://clintontwpnj.gov,unknown,found,unknown,,ok
Clinton,Town,Hunterdon,https://clintontwpnj.gov,unknown,found,unknown,,ok
Closter,Borough,Bergen,https://www.closterboro.com,unknown,not_found,unknown,,ok
Colts Neck,Township,Monmouth,https://coltsneck.org,unknown,found,custom_pdf,pdf_links:25,ok
Commercial,Township,Cumberland,https://commercialtwp.com,unknown,not_found,agendacenter,html:AgendaCenter,ok
Corbin City,City,Atlantic,https://sites.google.com/view/corbincitynj/home,unknown,found,agendacenter,html:AgendaCenter,ok
Cranford,Township,Union,https://www.cranfordnj.org,agendacenter,found,agendacenter,already_known,skip
Cresskill,Borough,Bergen,https://www.cresskillboro.com,unknown,found,unknown,,ok
Deal,Borough,Monmouth,https://dealnj.gov,unknown,not_found,agendacenter,html:AgendaCenter,ok
Deerfield,Township,Cumberland,,,no_url,skip,no_url,skip
Delanco,Township,Burlington,,,no_url,skip,no_url,skip
Delaware,Township,Hunterdon,,,no_url,skip,no_url,skip
Demarest,Borough,Bergen,,,no_url,skip,no_url,skip
Dennis,Township,Cape May,https://dennistwp.org,unknown,found,unknown,,ok
Denville,Township,Morris,https://www.denvillenj.gov,unknown,not_found,unknown,,ok
Downe,Township,Cumberland,https://downetwpnj.org,civicplus,found,civicplus,already_known,skip
Dumont,Borough,Bergen,https://www.dumontnj.gov,civicplus,found,civicplus,already_known,skip
Dunellen,Borough,Middlesex,https://www.dunellen-nj.gov,agendacenter,found,agendacenter,already_known,skip
Eagleswood,Township,Ocean,https://www.eagleswoodtwpnj.us,unknown,not_found,unknown,,ok
East Amwell,Township,Hunterdon,https://www.eastamwelltownship.com,agendacenter,found,agendacenter,already_known,skip
East Brunswick,Township,Middlesex,https://www.eastbrunswick.org,agendacenter,found,agendacenter,already_known,skip
East Greenwich,Township,Gloucester,https://www.eastgreenwichnj.com,unknown,found,agendacenter,html:AgendaCenter,ok
East Hanover,Township,Morris,https://www.easthanovertownship.com,unknown,found,unknown,,ok
East Newark,Borough,Hudson,https://www.boroughofeastnewark.com,unknown,found,unknown,,ok
East Rutherford,Borough,Bergen,https://www.eastrutherfordnj.net,agendacenter,found,agendacenter,already_known,skip
East Windsor,Township,Mercer,https://www.east-windsor.nj.us,unknown,not_found,unknown,,ok
Eastampton,Township,Burlington,https://www.eastampton.com,unknown,not_found,agendacenter,html:AgendaCenter,ok
Edgewater,Borough,Bergen,,,no_url,skip,no_url,skip
Edison,Township,Middlesex,https://www.edisonnj.org,agendacenter,found,agendacenter,already_known,skip
Egg Harbor,Township,Atlantic,https://www.ehtgov.org,agendacenter,found,agendacenter,already_known,skip
Elk,Township,Gloucester,https://elktownshipnj.gov,unknown,found,unknown,,ok
Elmer,Borough,Salem,http://www.elmerboroughnj.com,unknown,found,agendacenter,html:AgendaCenter,ok
Elsinboro,Township,Salem,https://elsinborotownship.com,unknown,not_found,unknown,,timeout
Emerson,Borough,Bergen,https://www.emersonnj.org,civicplus,found,civicplus,already_known,skip
Englewood,City,Bergen,https://cityofenglewood.org,agendacenter,found,agendacenter,already_known,skip
Englewood Cliffs,Borough,Bergen,https://englewoodcliffsnj.org,unknown,found,unknown,,ok
Essex Fells,Borough,Essex,https://www.essexfellsboro.com,unknown,found,custom_pdf,pdf_links:5,ok
Estell Manor,City,Atlantic,http://www.estellmanor.org,unknown,not_found,unknown,,ok
