municipality,county,base_url,monitor_url,url_type,notes
Absecon,Atlantic,https://www.abseconnj.gov,https://www.abseconnj.gov/rfp,rfp_page,auto-generated
Absecon,Atlantic,https://www.abseconnj.gov,https://www.abseconnj.gov/rfps,rfp_page,auto-generated
Absecon,Atlantic,https://www.abseconnj.gov,https://www.abseconnj.gov/bids,bids_page,auto-generated
Absecon,Atlantic,https://www.abseconnj.gov,https://www.abseconnj.gov/bids-rfps,bids_rfp_page,auto-generated
Absecon,Atlantic,https://www.abseconnj.gov,https://www.abseconnj.gov/bids-and-rfps,bids_rfp_page,auto-generated
Absecon,Atlantic,https://www.abseconnj.gov,https://www.abseconnj.gov/purchasing,purchasing,auto-generated
Absecon,Atlantic,https://www.abseconnj.gov,https://www.abseconnj.gov/government/purchasing,purchasing,auto-generated
Absecon,Atlantic,https://www.abseconnj.gov,https://www.abseconnj.gov/business/bids,bids_page,auto-generated
Absecon,Atlantic,https://www.abseconnj.gov,https://www.abseconnj.gov/legal-notices,legal_notices,auto-generated
Absecon,Atlantic,https://www.abseconnj.gov,https://www.abseconnj.gov/cannabis,cannabis_page,auto-generated
Absecon,Atlantic,https://www.abseconnj.gov,https://www.abseconnj.gov/cannabis-licensing,cannabis_page,auto-generated
Absecon,Atlantic,https://www.abseconnj.gov,https://www.abseconnj.gov,home,auto-generated
Atlantic City,Atlantic,https://www.acnj.gov,https://www.acnj.gov/index.aspx?NID=252,bids_page,Atlantic City bids page
Atlantic City,Atlantic,https://www.acnj.gov,https://www.acnj.gov/rfp,rfp_page,auto-generated
Atlantic City,Atlantic,https://www.acnj.gov,https://www.acnj.gov/rfps,rfp_page,auto-generated
Atlantic City,Atlantic,https://www.acnj.gov,https://www.acnj.gov/bids,bids_page,auto-generated
Atlantic City,Atlantic,https://www.acnj.gov,https://www.acnj.gov/bids-rfps,bids_rfp_page,auto-generated
Atlantic City,Atlantic,https://www.acnj.gov,https://www.acnj.gov/bids-and-rfps,bids_rfp_page,auto-generated
Atlantic City,Atlantic,https://www.acnj.gov,https://www.acnj.gov/purchasing,purchasing,auto-generated
Atlantic City,Atlantic,https://www.acnj.gov,https://www.acnj.gov/government/purchasing,purchasing,auto-generated
Atlantic City,Atlantic,https://www.acnj.gov,https://www.acnj.gov/business/bids,bids_page,auto-generated
Atlantic City,Atlantic,https://www.acnj.gov,https://www.acnj.gov/legal-notices,legal_notices,auto-generated
Atlantic City,Atlantic,https://www.acnj.gov,https://www.acnj.gov/cannabis,cannabis_page,auto-generated
Atlantic City,Atlantic,https://www.acnj.gov,https://www.acnj.gov/cannabis-licensing,cannabis_page,auto-generated
Atlantic City,Atlantic,https://www.acnj.gov,https://www.acnj.gov,home,auto-generated
Egg Harbor City,Atlantic,http://www.eggharborcity.org,http://www.eggharborcity.org/rfp,rfp_page,auto-generated
Egg Harbor City,Atlantic,http://www.eggharborcity.org,http://www.eggharborcity.org/rfps,rfp_page,auto-generated
Egg Harbor City,Atlantic,http://www.eggharborcity.org,http://www.eggharborcity.org/bids,bids_page,auto-generated
Egg Harbor City,Atlantic,http://www.eggharborcity.org,http://www.eggharborcity.org/bids-rfps,bids_rfp_page,auto-generated
Egg Harbor City,Atlantic,http://www.eggharborcity.org,http://www.eggharborcity.org/bids-and-rfps,bids_rfp_page,auto-generated
Egg Harbor City,Atlantic,http://www.eggharborcity.org,http://www.eggharborcity.org/purchasing,purchasing,auto-generated
Egg Harbor City,Atlantic,http://www.eggharborcity.org,http://www.eggharborcity.org/government/purchasing,purchasing,auto-generated
Egg Harbor City,Atlantic,http://www.eggharborcity.org,http://www.eggharborcity.org/business/bids,bids_page,auto-generated
